member_id,first_name,last_name,email,phone,dob,state,zip_code,enrollment_date,agent_id,carrier,plan_type
MEM000001,William,Duran,marcia99@example.org,(816)255-8523,1981-04-24,OH,06439,2023-05-16,AGT0032,VSP,Dental Premium
MEM000002,Benjamin,Reeves,jstone@example.net,925.695.2694x95888,1998-09-26,KY,62746,2024-03-24,AGT0079,Zurich,Vision Basic
MEM000003,Lisa,Richardson,whitneybrandy@example.net,001-809-474-9930x972,1999-10-04,KY,89725,2024-11-14,AGT0014,MetLife,Dental Premium
MEM000004,John,Armstrong,leescott@example.com,(563)768-9702,1999-08-20,IL,87300,2023-04-20,AGT0035,VSP,Vision Basic
MEM000005,Timothy,Bennett,stevepatel@example.net,(549)973-3484x344,1968-04-07,KY,42056,2023-12-18,AGT0065,VSP,Dental Premium
MEM000006,Timothy,Castro,keith98@example.com,(652)640-4157x4733,1958-04-13,GA,18493,2023-02-22,AGT0036,MetLife,Dental Basic
MEM000007,Daniel,Yang,johnsantiago@example.net,230.416.5712,1973-07-02,IL,53835,2023-05-14,AGT0057,Zurich,Vision Premium
MEM000008,Denise,Gilmore,mwoods@example.com,440-619-3802x62067,1950-11-13,OH,05411,2024-07-28,AGT0010,Zurich,Dental+Vision Bundle
MEM000009,Albert,Bradley,hebertmatthew@example.com,+1-688-472-8743x1527,1953-03-26,TN,02347,2024-07-12,AGT0075,Zurich,Dental Basic
MEM000010,Jill,Gibbs,gregorychase@example.com,(585)916-1227x53046,1953-10-02,KY,99297,2023-05-11,AGT0047,MetLife,Dental+Vision Bundle
MEM000011,Joseph,Rivera,greenmichael@example.org,6177426841,1972-05-21,OH,81061,2023-08-04,AGT0046,Zurich,Dental+Vision Bundle
MEM000012,Jeffrey,Bernard,vhernandez@example.net,(768)378-3391x878,1963-11-13,MI,74447,2024-02-21,AGT0021,MetLife,Dental+Vision Bundle
MEM000013,Daniel,Poole,ashleyhernandez@example.com,971.239.7187x07286,1966-02-03,TN,73743,2023-01-26,AGT0053,Zurich,Dental+Vision Bundle
MEM000014,Steven,Roman,fosterlisa@example.net,391.906.5180,1973-12-08,IL,04660,2023-09-12,AGT0014,VSP,Dental+Vision Bundle
MEM000015,Justin,White,katiegood@example.net,(456)576-6182x51286,1969-12-15,MI,00956,2024-04-26,AGT0059,VSP,Dental Premium
MEM000016,Katelyn,Good,inunez@example.com,+1-363-237-5243,1969-12-31,IN,87034,2023-08-22,AGT0025,VSP,Dental Premium
